name,bookings,rating,reviews,price,cuisine,location
Omakase Shiro,9,4.9,26,4,Sushi,Lincoln Square
HAVEN Riverfront Restaurant and Bar,28,4.6,2460,3,Contemporary American,Edgewater
Blume/Hütte,12,4.5,116,3,Austrian,Upper East Side
The Mermaid Inn Uptown,14,4.8,3685,3,Seafood,Upper West Side
Dagon,2,4.6,238,3,Mediterranean,Upper West Side
Carmine's - 91st Street - NYC,131,4.5,6541,3,Italian,Upper West Side
Elea,34,4.8,653,4,Greek,Upper West Side
Rebecca's,28,4.5,586,3,Cuban,Edgewater
Serafina 105,8,4.4,208,2,Italian,Upper West Side
Waterside Restaurant and Catering,NA,4.2,1008,3,American,North Bergen
Cibo e Vino,4,4.6,503,3,Italian,Upper West Side
Fleming's Steakhouse - Edgewater,NA,4.7,979,3,Steak,Edgewater
French Roast Uptown,27,4.5,339,3,French American,Upper West Side
Gyu-Kaku - Manhattan - Amsterdam Ave.,15,4.7,98,2,Japanese,Upper West Side
Nice Matin,48,4.5,3088,3,French,Upper West Side
Calle Ocho,14,4.6,3982,3,Latin American,Upper West Side
Cafe Luxembourg,123,4.7,6315,3,French American,Upper West Side
Osteria 106,12,4.8,395,2,Italian,Upper West Side
Le Monde,10,4.5,337,2,French,Upper West Side
Tavern on the Green,3,4.7,11622,3,American,Midtown West
The Milling Room,17,4.6,1907,3,American,Upper West Side
Hi-Life Restaurant - Upper West Side,7,4.7,513,2,American,Upper West Side
Trattoria iL Gusto Wine Bar,NA,4.5,284,2,Italian,Upper West Side
Bodrum Turkish Mediterranean,NA,4.6,1046,2,Turkish,Upper West Side
Awadh,7,4.4,750,3,Indian,Upper West Side
Red Rooster Harlem,79,4.6,8055,3,Southern,Harlem
The Smith- Lincoln Square,169,4.7,8300,2,American,Lincoln Square
Son Cubano - New Jersey,91,4.4,1774,3,Cuban,West New York
Lokal Mediterranean Kitchen,NA,4.6,459,3,Mediterranean,Upper West Side
Salumeria Rosi,22,4.8,1199,3,Italian,Upper West Side
Serafina Upper West,NA,4.5,401,2,Italian,Upper West Side
Ortomare Ristorante Pizzeria,12,4.8,155,2,Italian,Upper West Side
Boilery Upper West Side,43,4.5,67,3,Seafood,Upper West Side
The Leopard at des Artistes,50,4.7,2202,4,Italian,Upper West Side
La Sirene UWS,14,4.5,662,3,French,Upper West Side
Crave Fishbar - UWS,NA,4.7,1369,3,Seafood,Upper West Side
Shaking Crab - Upper West Side,NA,4.4,320,2,Cajun,Upper West Side
Cafe Fiorello,50,4.7,7769,3,Italian,Lincoln Square
Sala Thai,39,4.8,352,2,Thai,Upper West Side
Arte Cafe - Upper West Side,26,4.4,3255,3,Italian,Upper West Side
Momoya,50,4.6,26,3,Japanese,Upper West Side
Rustica Lounge Bar & Restaurant,7,4.0,290,3,Italian,Cliffside Park
Pappardella,28,4.6,1659,3,Italian,Upper West Side
Haru Sushi - Amsterdam Ave,NA,4.6,172,3,Japanese,Upper West Side
Island,NA,4.5,486,3,American,Upper East Side
5 Napkin Burger - Upper West Side,1,4.9,1331,2,Burgers,Upper West Side
Sfoglia,39,4.8,1481,3,Italian,Upper East Side
Row House,15,4.2,587,2,American,Harlem
Orsay,55,4.5,2697,4,French,Upper East Side
Caravaggio New York,NA,4.7,1059,3,Italian,Upper East Side
Toloache - Upper East Side,34,4.7,1111,3,Mexican,Upper East Side
Cafe d'Alsace,NA,4.6,2319,3,French,Upper East Side
The Highwood,62,4.5,175,2,American,Weehawken
Pomodoro Rosso,2,4.7,1300,2,Italian,Upper West Side
Bocado Cafe,24,4.5,692,2,American,Upper East Side
Rosa Mexicano by Lincoln Center,95,4.3,7842,3,Mexican,Lincoln Square
Maison Harlem,56,4.5,787,2,French,Harlem
Korali,4,4.6,935,3,Greek,Upper East Side
Marcus at Nohu Rooftop,138,3.8,954,2,American,Weehawken
BLT Prime,15,4.8,353,2,Steakhouse,Upper East Side
Flame NYC - No Hibachi (Regular Tables Only),6,4.4,25,3,Asian,Upper West Side
The Ribbon - UWS,1,4.2,1413,4,Contemporary American,Upper West Side
Sofrito NYC,46,4.4,1047,2,Latin / Spanish,Harlem
Il Violino,NA,4.5,1452,3,Italian,Upper West Side
Siena Cafe,NA,4.4,266,3,Italian,Upper East Side
Masseria dei Vini,2,4.8,1884,3,Italian,Midtown West
Blue Ribbon Sushi Bar & Grill,1,4.7,86,4,Sushi,Columbus Circle
Bettola NYC,NA,4.5,511,2,Italian,Upper West Side
Serafina 79,NA,4.4,433,3,Italian,Upper East Side
Villa Amalfi,2,4.8,74,3,Italian,Cliffside Park
Hudson West Kitchen + Craft Bar (formerly Ousia),15,4.7,917,3,American,Hell's Kitchen
Jacques Brasserie,10,4.7,1021,3,French,Upper East Side
Noche Mexicana,NA,3.7,64,2,Mexican,Upper West Side
The Grange,37,4.5,380,3,American,Harlem
Shun Lee West,20,4.5,2896,3,Chinese,Lincoln Square
Porter House Bar and Grill,24,4.8,4923,4,American,Midtown West
Barawine,11,4.7,462,2,French,Harlem
Kappo Masa,12,4.6,395,4,Japanese,Upper East Side
Osteria Nando,35,4.5,41,3,Mediterranean,Upper East Side
Bua Thai Ramen & Robata Grill,14,4.6,81,2,Unspecified,Upper East Side
The Daisy,17,4.3,243,3,Cocktail Bar,Upper East Side
Ascent Lounge New York,19,4.7,117,2,American,Midtown West
Hachi Maki,5,3.8,9,2,Japanese,Upper West Side
Gray Hawk Grill,22,4.7,82,3,American,Upper East Side
Luna Rossa Ristorante,9,4.8,622,3,Italian,Upper East Side
P.F. Chang's - West New York,3,4.3,85,2,Asian,West New York
Maxwell's Central Park,NA,4.6,110,2,American,Harlem
San Matteo Pizzeria e Cucina,NA,4.7,200,2,Pizzeria,Upper East Side
Joanne Trattoria,15,4.1,2652,3,Italian,Lincoln Square
Anār Indian Cuisine,12,NA,NA,2,Indian,Upper West Side
Italianissimo,NA,4.7,461,2,Italian,Upper East Side
Sushi Damo,13,4.5,421,3,Japanese,Midtown West
Sojourn Restaurant,14,4.5,1696,2,Contemporary American,Upper East Side
The Greek Kitchen,NA,4.6,719,2,Greek,Hell's Kitchen
Eats,NA,4.3,684,2,American,Upper East Side
Bluebird London NYC,20,4.4,217,3,British,Columbus Circle
Osteria Laura NYC,16,4.3,15,3,Italian,Harlem
Avos Grill,NA,4.3,7,3,Mediterranean,Cliffside Park
Amor Cubano,NA,4.5,423,2,Cuban,Harlem
IL Carino Restaurant,NA,4.4,153,3,Italian,Upper East Side
Omakase Shiro,9,4.9,26,4,Sushi,Lincoln Square
HAVEN Riverfront Restaurant and Bar,28,4.6,2460,3,Contemporary American,Edgewater
Blume/Hütte,12,4.5,116,3,Austrian,Upper East Side
The Mermaid Inn Uptown,14,4.8,3685,3,Seafood,Upper West Side
Dagon,2,4.6,238,3,Mediterranean,Upper West Side
Carmine's - 91st Street - NYC,131,4.5,6541,3,Italian,Upper West Side
Elea,34,4.8,653,4,Greek,Upper West Side
Rebecca's,28,4.5,586,3,Cuban,Edgewater
Serafina 105,8,4.4,208,2,Italian,Upper West Side
Waterside Restaurant and Catering,NA,4.2,1008,3,American,North Bergen
Cibo e Vino,4,4.6,503,3,Italian,Upper West Side
Fleming's Steakhouse - Edgewater,NA,4.7,979,3,Steak,Edgewater
French Roast Uptown,27,4.5,339,3,French American,Upper West Side
Gyu-Kaku - Manhattan - Amsterdam Ave.,15,4.7,98,2,Japanese,Upper West Side
Nice Matin,48,4.5,3088,3,French,Upper West Side
Calle Ocho,14,4.6,3982,3,Latin American,Upper West Side
Cafe Luxembourg,123,4.7,6315,3,French American,Upper West Side
