iter	Passed	Remaining
0	185	184947
1	321	160591
2	399	132635
3	522	130105
4	671	133553
5	769	127442
6	919	130484
7	1057	131123
8	1191	131196
9	1335	132227
10	1472	132403
11	1609	132476
12	1749	132823
13	1895	133518
14	2027	133170
15	2186	134441
16	2336	135096
17	2491	135901
18	2629	135756
19	2777	136117
20	2960	138026
21	3098	137742
22	3261	138536
23	3407	138584
24	3538	138005
25	3668	137436
26	3837	138282
27	3978	138117
28	4126	138165
29	4304	139170
30	4440	138807
31	4595	139009
32	4711	138055
33	4869	138358
34	4993	137670
35	5192	139053
36	5342	139039
37	5510	139494
38	5644	139089
39	5800	139211
40	5959	139394
41	6092	138974
42	6231	138676
43	6390	138840
44	6547	138952
45	6647	137870
46	6796	137803
47	6955	137955
48	7103	137871
49	7252	137802
50	7402	137737
51	7572	138045
52	7729	138110
53	7890	138221
54	8095	139092
55	8268	139383
56	8405	139053
57	8548	138833
58	8667	138240
59	8815	138107
60	8956	137876
61	9112	137868
62	9226	137228
63	9394	137389
64	9543	137286
65	9708	137383
66	9876	137539
67	10032	137504
68	10175	137297
69	10354	137568
70	10507	137491
71	10671	137545
72	10811	137292
73	10950	137026
74	11118	137129
75	11246	136731
76	11430	137013
77	11592	137025
78	11726	136705
79	11876	136578
80	12039	136594
81	12193	136508
82	12332	136253
83	12477	136066
84	12623	135886
85	12830	136357
86	12969	136105
87	13114	135915
88	13264	135779
89	13435	135849
90	13580	135655
91	13710	135315
92	13858	135155
93	14017	135108
94	14177	135061
95	14313	134789
96	14505	135034
97	14659	134923
98	14793	134636
99	14928	134356
100	15111	134510
101	15260	134348
102	15409	134197
103	15587	134290
104	15731	134088
105	15880	133933
106	16043	133892
107	16204	133833
108	16333	133514
109	16507	133560
110	16674	133546
111	16849	133594
112	16974	133239
113	17129	133129
114	17290	133064
115	17459	133053
116	17615	132945
117	17777	132881
118	17927	132724
119	18104	132764
120	18255	132614
121	18404	132453
122	18534	132150
123	18642	131698
124	18786	131505
125	18964	131546
126	19104	131323
127	19258	131200
128	19419	131120
129	19563	130924
130	19653	130371
131	19782	130083
132	19954	130081
133	20106	129943
134	20261	129825
135	20444	129885
136	20590	129702
137	20723	129448
138	20865	129247
139	21029	129181
140	21177	129015
141	21326	128859
142	21488	128781
143	21646	128673
144	21774	128396
145	21920	128220
146	22073	128085
147	22246	128068
148	22395	127909
149	22539	127721
150	22699	127626
151	22872	127607
152	23036	127528
153	23186	127374
154	23337	127224
155	23525	127277
156	23699	127254
157	23878	127253
158	24043	127174
159	24185	126973
160	24323	126752
161	24498	126724
162	24631	126480
163	24780	126320
164	24902	126021
165	25030	125756
166	25204	125719
167	25371	125648
168	25516	125470
169	25652	125243
170	25900	125564
171	26068	125492
172	26187	125183
173	26342	125050
174	26497	124918
175	26670	124864
176	26825	124728
177	27013	124748
178	27151	124531
179	27268	124224
180	27420	124073
181	27555	123847
182	27724	123777
183	27874	123618
184	28035	123508
185	28184	123343
186	28331	123171
187	28484	123030
188	28625	122832
189	28743	122538
190	28885	122345
191	29040	122213
192	29221	122185
193	29369	122020
194	29517	121854
195	29672	121717
196	29831	121596
197	30002	121525
198	30120	121237
199	30275	121100
200	30365	120706
201	30526	120594
202	30677	120441
203	30828	120292
204	30960	120068
205	31119	119946
206	31261	119761
207	31416	119626
208	31584	119536
209	31762	119489
210	31920	119360
211	32069	119203
212	32228	119078
213	32384	118944
214	32542	118818
215	32693	118665
216	32854	118549
217	33002	118385
218	33157	118244
219	33291	118035
220	33443	117883
221	33629	117854
222	33782	117707
223	33913	117486
224	34064	117332
225	34210	117163
226	34390	117108
227	34554	116999
228	34686	116783
229	34856	116691
230	35014	116563
231	35194	116507
232	35350	116367
233	35505	116226
234	35675	116135
235	35815	115946
236	35930	115674
237	36113	115623
238	36241	115396
239	36375	115188
240	36520	115017
241	36694	114935
242	36860	114828
243	37035	114748
244	37189	114605
245	37331	114421
246	37471	114235
247	37616	114064
248	37758	113881
249	37883	113651
250	38043	113523
251	38197	113378
252	38381	113324
253	38551	113227
254	38667	112968
255	38804	112775
256	38954	112618
257	39102	112458
258	39259	112320
259	39418	112191
260	39547	111974
261	39716	111872
262	39850	111673
263	40009	111541
264	40140	111332
265	40295	111191
266	40448	111044
267	40565	110798
268	40714	110640
269	40851	110449
270	41008	110315
271	41164	110175
272	41282	109934
273	41448	109824
274	41601	109676
275	41701	109390
276	41857	109252
277	42014	109115
278	42184	109014
279	42322	108828
280	42455	108632
281	42571	108390
282	42718	108229
283	42873	108088
284	43025	107940
285	43171	107779
286	43292	107552
287	43419	107342
288	43548	107139
289	43681	106943
290	43819	106762
291	43966	106602
292	44118	106456
293	44270	106309
294	44424	106168
295	44576	106019
296	44756	105937
297	44897	105764
298	45066	105656
299	45237	105554
300	45404	105440
301	45552	105284
302	45709	105147
303	45852	104978
304	45976	104766
305	46136	104637
306	46305	104526
307	46489	104450
308	46636	104290
309	46804	104178
310	46957	104030
311	47096	103854
312	47244	103697
313	47379	103511
314	47523	103344
315	47639	103118
316	47787	102962
317	47950	102836
318	48099	102682
319	48283	102603
320	48397	102373
321	48569	102268
322	48744	102167
323	48937	102104
324	49143	102066
325	49286	101899
326	49434	101741
327	49585	101589
328	49724	101413
329	49856	101222
330	49938	100933
331	50094	100793
332	50260	100671
333	50413	100526
334	50569	100384
335	50731	100255
336	50893	100125
337	51068	100021
338	51201	99836
339	51353	99686
340	51509	99544
341	51633	99342
342	51790	99202
343	51937	99043
344	52085	98886
345	52253	98768
346	52368	98548
347	52569	98492
348	52705	98312
349	52847	98145
350	53020	98035
351	53177	97895
352	53311	97712
353	53490	97613
354	53644	97466
355	53781	97289
356	53939	97152
357	54079	96979
358	54234	96836
359	54382	96679
360	54538	96537
361	54695	96397
362	54860	96270
363	54999	96098
364	55147	95940
365	55298	95790
366	55451	95642
367	55590	95470
368	55757	95347
369	55947	95262
370	56120	95147
371	56271	94996
372	56406	94817
373	56562	94674
374	56728	94547
375	56861	94365
376	57021	94229
377	57153	94045
378	57309	93902
379	57474	93773
380	57604	93587
381	57768	93457
382	57938	93336
383	58094	93192
384	58242	93036
385	58391	92882
386	58549	92741
387	58692	92576
388	58851	92438
389	59015	92305
390	59171	92162
391	59329	92020
392	59488	91881
393	59644	91736
394	59807	91604
395	59984	91491
396	60162	91380
397	60305	91216
398	60464	91075
399	60581	90872
400	60736	90726
401	60907	90602
402	61109	90526
403	61282	90407
404	61425	90242
405	61614	90144
406	61781	90016
407	61923	89850
408	62068	89687
409	62220	89536
410	62357	89364
411	62506	89208
412	62669	89072
413	62829	88932
414	62995	88800
415	63140	88639
416	63295	88491
417	63442	88333
418	63610	88205
419	63771	88065
420	63915	87902
421	64075	87762
422	64236	87622
423	64368	87443
424	64504	87271
425	64640	87097
426	64805	86964
427	64990	86856
428	65162	86731
429	65314	86579
430	65492	86462
431	65640	86304
432	65801	86165
433	65954	86015
434	66084	85834
435	66227	85670
436	66387	85529
437	66540	85378
438	66680	85211
439	66816	85039
440	66986	84910
441	67117	84732
442	67246	84551
443	67419	84426
444	67569	84271
445	67755	84163
446	67895	83995
447	68086	83891
448	68279	83790
449	68431	83638
450	68594	83499
451	68750	83352
452	68893	83188
453	69073	83071
454	69221	82913
455	69331	82710
456	69487	82563
457	69644	82417
458	69790	82258
459	69950	82115
460	70108	81970
461	70273	81834
462	70432	81689
463	70569	81519
464	70719	81365
465	70846	81184
466	71001	81035
467	71146	80875
468	71270	80692
469	71399	80514
470	71545	80355
471	71665	80168
472	71815	80014
473	72010	79910
474	72157	79753
475	72292	79582
476	72447	79434
477	72580	79261
478	72770	79151
479	72899	78974
480	73049	78820
481	73184	78650
482	73342	78504
483	73483	78341
484	73635	78190
485	73776	78027
486	73895	77840
487	74026	77666
488	74209	77548
489	74362	77398
490	74533	77265
491	74694	77123
492	74844	76969
493	75027	76849
494	75179	76698
495	75313	76528
496	75483	76395
497	75627	76234
498	75787	76090
499	75953	75953
500	76124	75821
501	76257	75649
502	76441	75530
503	76609	75393
504	76764	75244
505	76916	75092
506	77044	74917
507	77218	74786
508	77394	74657
509	77584	74541
510	77725	74378
511	77898	74247
512	78046	74090
513	78215	73954
514	78359	73795
515	78520	73650
516	78697	73522
517	78854	73374
518	78992	73208
519	79141	73054
520	79278	72887
521	79449	72752
522	79618	72615
523	79761	72454
524	79932	72319
525	80114	72194
526	80248	72026
527	80383	71857
528	80514	71687
529	80695	71560
530	80828	71390
531	80967	71227
532	81117	71072
533	81303	70950
534	81420	70767
535	81578	70620
536	81709	70449
537	81843	70282
538	82005	70138
539	82128	69960
540	82286	69814
541	82417	69644
542	82551	69476
543	82707	69328
544	82886	69198
545	83040	69048
546	83218	68917
547	83388	68780
548	83555	68640
549	83726	68503
550	83888	68359
551	84022	68192
552	84207	68066
553	84370	67922
554	84528	67775
555	84698	67637
556	84845	67480
557	84991	67323
558	85149	67175
559	85339	67052
560	85482	66892
561	85649	66751
562	85793	66592
563	85959	66450
564	86119	66304
565	86271	66151
566	86451	66020
567	86599	65864
568	86780	65733
569	86956	65598
570	87090	65432
571	87247	65282
572	87387	65121
573	87533	64964
574	87705	64825
575	87853	64669
576	88013	64522
577	88166	64370
578	88311	64212
579	88501	64087
580	88660	63939
581	88811	63785
582	88954	63626
583	89096	63465
584	89246	63311
585	89400	63160
586	89542	62999
587	89692	62846
588	89835	62686
589	89965	62518
590	90121	62368
591	90236	62189
592	90391	62039
593	90567	61903
594	90741	61765
595	90898	61616
596	91067	61474
597	91224	61324
598	91368	61166
599	91497	60998
600	91656	60850
601	91801	60692
602	91945	60534
603	92084	60373
604	92219	60209
605	92361	60050
606	92454	59859
607	92576	59687
608	92700	59517
609	92872	59377
610	93055	59244
611	93198	59086
612	93321	58915
613	93515	58789
614	93661	58633
615	93816	58482
616	93953	58321
617	94117	58175
618	94260	58018
619	94413	57866
620	94593	57731
621	94725	57566
622	94876	57413
623	95041	57268
624	95167	57100
625	95330	56954
626	95504	56815
627	95639	56652
628	95801	56506
629	95964	56359
630	96107	56202
631	96252	56046
632	96445	55916
633	96642	55790
634	96785	55632
635	96958	55491
636	97124	55347
637	97287	55200
638	97418	55036
639	97567	54881
640	97721	54729
641	97866	54573
642	98041	54433
643	98134	54248
644	98269	54086
645	98405	53924
646	98545	53765
647	98696	53613
648	98873	53473
649	99050	53334
650	99174	53167
651	99315	53009
652	99489	52867
653	99641	52715
654	99759	52544
655	99930	52402
656	100086	52252
657	100243	52102
658	100377	51940
659	100519	51782
660	100657	51623
661	100808	51469
662	101013	51344
663	101153	51186
664	101318	51040
665	101508	50906
666	101658	50753
667	101820	50605
668	101990	50461
669	102162	50318
670	102303	50160
671	102433	49997
672	102574	49839
673	102723	49685
674	102884	49536
675	103021	49377
676	103154	49215
677	103283	49051
678	103459	48910
679	103636	48770
680	103785	48616
681	103934	48461
682	104095	48313
683	104212	48144
684	104366	47993
685	104497	47831
686	104659	47683
687	104807	47528
688	104981	47386
689	105140	47236
690	105275	47076
691	105416	46919
692	105564	46765
693	105710	46610
694	105869	46460
695	106024	46309
696	106174	46156
697	106312	45997
698	106453	45840
699	106607	45689
700	106756	45535
701	106909	45383
702	107071	45235
703	107248	45092
704	107414	44946
705	107570	44795
706	107697	44632
707	107880	44493
708	108036	44342
709	108226	44205
710	108400	44061
711	108554	43909
712	108712	43759
713	108863	43606
714	109000	43447
715	109120	43282
716	109289	43136
717	109422	42976
